price,area,floor,rooms_number,complex,developer,address
20373250,35.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20373250,35.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20424300,39.0,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20449612,54.3,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20462400,34.8,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20474870,37.7,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20516850,35.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20580300,39.0,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20586480,37.2,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20621040,29.2,,0,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
20625570,44.1,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20655910,39.7,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20660880,37.2,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20742840,36.7,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20987520,40.8,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20987590,37.7,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21067720,45.2,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21069120,40.8,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21147083,39.4,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21147902,41.5,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21221640,46.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21224262,41.5,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21228720,39.4,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21407802,38.7,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21410780,36.7,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21454473,36.3,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21530990,43.7,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21532880,52.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21534030,39.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21550632,41.0,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21563680,43.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21607580,43.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21667980,45.8,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21681030,34.3,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21772600,54.7,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21785580,35.7,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21918400,41.2,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
21946765,39.4,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22046460,46.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22082680,35.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22104600,39.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22115220,39.4,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22162020,43.1,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22296280,35.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22367480,35.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22375820,44.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22413960,41.4,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22468920,45.2,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22491630,39.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22536840,40.4,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22584390,42.5,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22672740,44.3,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22694950,38.5,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22732620,44.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22751400,39.0,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22772280,39.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22804800,48.0,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22810830,39.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22812930,44.1,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22900800,48.0,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22901130,44.1,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22908600,44.5,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22934780,39.1,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22941200,41.5,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22989330,44.1,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
22996800,48.0,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23032500,41.5,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23076080,47.2,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23107170,38.1,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23142330,39.3,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23151018,45.3,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23165150,39.5,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23196420,43.1,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23231880,43.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23320860,39.4,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23333700,40.5,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23482800,44.0,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23542950,41.5,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23602370,43.7,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23606730,44.1,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23643540,41.4,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23694930,44.1,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23716200,43.5,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23739730,40.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23780190,36.1,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23922800,44.0,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23938840,38.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
23938860,43.7,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
24148800,48.0,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
24229377,57.2,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
24403220,43.1,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
24544000,41.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
24616250,42.5,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
24653976,59.0,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
24854200,57.4,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
24860220,46.2,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
24935540,55.4,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25013640,39.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25046340,55.4,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25085500,55.0,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25118850,45.3,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25136540,44.2,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25163110,58.1,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25267940,55.4,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25292090,62.9,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25326600,44.2,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25369828,47.3,,1,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
25395180,45.3,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25396800,48.0,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25470780,43.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25527840,62.4,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25652640,62.4,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25761090,55.3,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25803960,55.6,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25821980,43.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25832190,57.3,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25838200,68.5,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25902240,62.4,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
25932740,55.4,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
26000480,58.4,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
26009530,38.3,,1,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
26013020,63.4,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
26079640,70.6,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
26099980,64.7,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
26150810,58.1,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
26151240,38.3,,1,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
26178160,67.4,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
26207800,59.0,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
26245560,67.4,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
26353170,66.7,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
26390604,67.4,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
26393420,63.4,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
26433730,64.3,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
26508330,57.3,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
26515160,67.4,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
26552400,69.6,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
26622930,57.3,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
26708340,55.4,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
26739018,61.5,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
26741340,45.9,,1,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
26776857,49.6,,1,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
26784760,67.4,,2,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
